256	10
Fp2_F4	F4_C4	C4_P4	P4_O2	Fp1_F3	F3_C3	C3_P3	P3_O1	Fp2_F8	F8_T4	T4_T6	T6_O2	Fp1_F7	F7_T3	T3_T5	T5_O1	Fz_Cz	Cz_Pz
-0.0248589614640455	-2.65799995036964	-1.04857023878616	0.04744714673946	-0.372682606129926	-0.0934342212122515	-0.536648490946841	-2.32477741984025	-0.882037467260426	-0.238533598196669	-1.27934414350557	-1.2840667979794	-1.47605638771727	-0.21856162703803	0.121286805263098	-1.75421153206784	3.30873175853612	-2.23257737502629
-0.36894111139084	-2.85041704871845	-1.5934813567353	0.187957227321999	0.0692371585555919	-0.657792156509277	-0.699229616981616	-2.96029113539491	-1.46302271958014	-1.70155113197467	-0.523632209201846	-0.93667623184587	-2.7929152153017	0.446033564305881	-1.32590486383703	-0.575289238984447	4.78267217822378	-4.23579469890237
-0.94916479657108	-2.65828968274267	-1.91524808291687	0.270510113958252	0.165927679682708	-0.88795611006218	-0.862120672195963	-3.30126718679862	-1.95705059201201	-2.63146798782406	0.0319436896011397	-0.695617561134676	-3.69710266088758	0.88140011261344	-2.23910953399904	0.169395789356005	5.71713624423068	-5.48631300941758
-1.47110455239366	-2.30810173348458	-2.00265018463167	0.287803268324433	0.0023769939549274	-0.801964925626808	-0.989911872383568	-3.33793397807932	-2.21985663149504	-2.88650576066233	0.249288360991946	-0.636979174133576	-3.99941603939454	1.00272678021113	-2.48830628454618	0.357561757995993	6.06275767417994	-5.87879611620525
-1.59614334066685	-2.20270309071143	-1.96209407743776	0.261197381706299	-0.153237457692232	-0.642396101523374	-1.0436076384701	-3.22675983947404	-2.21764107996778	-2.70279417400089	0.151711587226741	-0.731019463496585	-3.8326408738165	0.89410676062214	-2.29138205413995	0.163915126520339	6.04541523607034	-5.74249960348234
-1.29525194069265	-2.49525243019015	-1.90662416803025	0.22276480759121	-0.133303830312232	-0.622095147593171	-1.01698583518406	-3.12758186848673	-2.06211878723869	-2.44237641799821	-0.101718446421313	-0.868150082806644	-3.51269286434008	0.723294788467563	-1.99178504877276	-0.11878356064016	5.92240250517416	-5.49101202742062
-0.928554691121025	-2.9010681053817	-1.88376480824714	0.199801950872597	-0.0294507320899435	-0.722870183390856	-0.959214928646576	-3.08800099491239	-1.9374014371539	-2.31992479085984	-0.311433876420455	-0.944825552599379	-3.31392675509659	0.624199390275164	-1.82313731326391	-0.286672164718293	5.83537852109322	-5.34658662435332
-0.87788612699578	-3.02056861818784	-1.88988064471898	0.20367459214152	-0.0449076082892784	-0.769814641534461	-0.937347939244796	-3.07167301951163	-1.9509744606015	-2.33076556454269	-0.360342176150964	-0.942578599634572	-3.32163312781524	0.631319082831738	-1.82360207234168	-0.309827095073029	5.82674537812862	-5.32345599323648
-1.12154252637423	-2.81618638755073	-1.91675641447439	0.223029493906213	-0.228437455996877	-0.675725451565386	-0.966824087325461	-3.05432795558647	-2.04837502402304	-2.37022666669261	-0.283205256527975	-0.929648890429498	-3.44418921909535	0.693867176108546	-1.89911866059685	-0.27587425076225	5.8948932946865	-5.35833796232393
-1.27937699501881	-2.65002075684012	-1.96380584220677	0.22975266128237	-0.420340189215411	-0.549045387689964	-0.995501612925604	-3.05608984928797	-2.09619278524785	-2.37335370210346	-0.213251794770893	-0.980652653851428	-3.54601458136849	0.740289843141006	-1.94036030897708	-0.27489199583923	6.00054475955008	-5.40338621153516
-1.09996552495702	-2.81930298353471	-2.01667263580505	0.201534599133773	-0.468271338245213	-0.540922570242661	-0.970426534227128	-3.08842251322572	-2.04994853535821	-2.34554008197398	-0.244854478734825	-1.09406345229559	-3.57412491170973	0.736335242736468	-1.90328136251419	-0.326971928430675	6.07031730641626	-5.43198061124426
-0.784956699317427	-3.17627931770933	-2.04253329593597	0.144546509728452	-0.426460755995057	-0.641591287598047	-0.908171936886387	-3.11147176664452	-2.00691151116884	-2.30679889190849	-0.349316243670851	-1.19619615969403	-3.57080360582329	0.694267144524102	-1.81599363579127	-0.395165654062901	6.05399433379904	-5.42428381362403
-0.727522496611247	-3.32709865259559	-2.02394230149024	0.0914105274751672	-0.477518988928929	-0.695098937345489	-0.876936754734649	-3.07322208368628	-2.07447649004387	-2.25411953036674	-0.43081203504563	-1.22774487098099	-3.58576194403256	0.638571125390744	-1.73143034416895	-0.444155605965185	5.98406150599966	-5.3791113090984
-0.993818382369716	-3.15502179936213	-1.98951667407609	0.0726833697917418	-0.679928695022797	-0.610789241215419	-0.908748253860065	-2.98079302352173	-2.21861770282282	-2.18599126965642	-0.449505399886367	-1.21155911687229	-3.60242325596025	0.57383975984358	-1.67721221572945	-0.474463505905029	5.94645134184587	-5.3242560157536
-1.22700462501919	-2.97732867649863	-1.99172131227742	0.0905703324527675	-0.876657155764667	-0.488417998291674	-0.953944468555003	-2.9033266783067	-2.29150496393245	-2.13248152265982	-0.461793175771599	-1.21970462220565	-3.56341749465945	0.491231955701318	-1.64338715729439	-0.50677360884646	5.98013266365545	-5.29063225011632
-1.11328761117862	-3.11834557394631	-2.04874795076777	0.122116405582237	-0.893352347949225	-0.485588160084429	-0.941393131411874	-2.89320418193182	-2.21284747795486	-2.1294304789474	-0.53462231776699	-1.28136445887256	-3.45513599223813	0.399447441473259	-1.60773791387514	-0.550111360967319	6.03203758364083	-5.27641846884172
-0.801323516873707	-3.46244219051111	-2.12224220580409	0.145397677043131	-0.7698740111777	-0.600467216047489	-0.871752952788759	-2.92314149038217	-2.07679876797168	-2.16427359111582	-0.650435134712306	-1.34910274558062	-3.33953837915083	0.333685312826158	-1.56493217119285	-0.59445043715677	6.03500114471972	-5.25517794565882
-0.707511965484388	-3.59779332970054	-2.16412443425881	0.157371446639978	-0.715137463754945	-0.664734017390086	-0.822064474816055	-2.9226567783501	-2.04238719187548	-2.17418861796963	-0.728210351840538	-1.36727212435516	-3.29028445651556	0.323358740502916	-1.52783904590055	-0.629827976723471	6.01064872529141	-5.22355717590783
-0.949921616853672	-3.38010029012599	-2.17584472846913	0.16548248329536	-0.839057171836635	-0.567635948375321	-0.849052629663427	-2.86988103794124	-2.14097296455063	-2.11479184329554	-0.731435948320078	-1.3531833992256	-3.31347425355452	0.354542789453968	-1.5031609040115	-0.663534424076434	6.05009273319714	-5.21723316919922
-1.17029936408276	-3.16115466945841	-2.20173762065015	0.168678230423714	-1.02008141081072	-0.415895462878691	-0.91213463561323	-2.81818900438396	-2.24644963319812	-2.01862531576725	-0.717179015026305	-1.38225946301467	-3.35331006144428	0.375567516142851	-1.47502974216437	-0.71352823063809	6.17754270147221	-5.25582852438448
-1.01053176387484	-3.34415382902631	-2.2620993626005	0.15568926077769	-1.09140986893537	-0.4039906908507	-0.920032146633566	-2.81818515354782	-2.24810304649444	-1.96372521726157	-0.757982191072045	-1.49128524313383	-3.37168477657918	0.344764928838679	-1.42140808178067	-0.785289934908031	6.27275869770471	-5.28439981655349
-0.626433103653703	-3.8275191643475	-2.31612319491453	0.124250747110111	-1.0903327251502	-0.550289479702608	-0.849699326378274	-2.83623514079791	-2.19953285552709	-1.98411365577079	-0.840254517621555	-1.6219236901223	-3.39157792645724	0.268317413563094	-1.34463835683608	-0.858657806803873	6.18899816287226	-5.21517943543569
-0.528364790163191	-4.08594771460046	-2.31289560191545	0.0937803490154397	-1.20764049005702	-0.646819729585502	-0.788536175001874	-2.78584747448849	-2.24048617757995	-2.03357534424683	-0.879977113752869	-1.67938912531738	-3.44053823762924	0.187632774617371	-1.27414278036085	-0.901795630307508	5.97033556356398	-5.06077120384447
